billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273108_001607,verso,1578,1344,1259,0.2022,52,ja,21,24/24,ja
273108_001608,recto,1898,1266,1195,0.3704,38,ja,39,24/24,ja
273111_001366,verso,1628,1419,1187,0.2709,14,ja,31,24/24,ja
273111_001367,recto,1957,1263,1192,0.3909,21,ja,13,24/24,ja
273111_001368,verso,1628,1403,1148,0.2948,7,ja,16,24/24,ja
273112_001201,verso,1701,1370,1142,0.3286,14,ja,17,24/24,ja
273112_001202,recto,1916,1328,1156,0.3967,11,ja,35,24/24,ja
273112_001203,verso,1701,1385,1172,0.3110,8,ja,33,24/24,ja
273112_001204,recto,1919,1338,1148,0.4018,12,ja,18,24/24,ja
273112_001205,verso,1700,1379,1150,0.3235,12,ja,20,24/24,ja
273112_001206,recto,1920,1338,1149,0.4016,14,ja,22,24/24,ja
273112_001207,verso,1696,1404,1167,0.3119,8,ja,26,24/24,ja
