billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273100_001300,verso,1592,1368,1196,0.2487,28,ja,23,24/24,ja
273100_001302,verso,1591,1345,1194,0.2495,10,ja,12,24/24,ja
273100_001303,recto,1679,1289,1202,0.2841,23,ja,20,24/24,ja
273100_001304,verso,1585,1339,1176,0.2580,9,ja,19,24/24,ja
273100_001305,recto,1687,1309,1170,0.3065,13,ja,15,24/24,ja
273100_001306,verso,1583,1346,1201,0.2413,21,ja,30,24/24,ja
273100_001307,recto,1675,1282,1193,0.2878,12,ja,12,24/24,ja
273100_001308,verso,1578,1348,1198,0.2408,12,ja,17,21/24,ja
273100_001309,recto,1688,1282,1204,0.2867,20,ja,18,19/24,ja
273100_001310,verso,1562,1384,1292,0.1729,49,ja,40,18/24,ja
273100_001311,recto,1745,1336,1240,0.2894,61,ja,54,23/24,ja
273101_001163,verso,1457,1263,1190,0.1833,9,ja,22,23/24,ja
273101_001164,recto,1736,1289,1204,0.3065,9,ja,22,23/24,ja
273101_001165,verso,1661,1419,1189,0.2842,45,ja,12,24/24,ja
273101_001166,recto,1699,1339,1220,0.2819,38,ja,71,24/24,ja
273101_001167,verso,1661,1414,1185,0.2866,10,ja,7,24/24,ja
273101_001168,recto,1682,1280,1194,0.2901,8,ja,17,24/24,ja
273101_001169,verso,1659,1404,1176,0.2911,31,ja,21,24/24,ja
273102_001064,verso,1838,1196,1045,0.4314,20,ja,13,24/24,ja
273102_001065,recto,1891,1350,1051,0.4442,11,ja,21,24/24,ja
273102_001066,verso,1837,1201,1046,0.4306,21,ja,28,24/24,ja
273102_001067,recto,1889,1347,1050,0.4442,10,ja,6,24/24,ja
273102_001068,verso,1838,1197,1054,0.4266,17,ja,16,24/24,ja
273102_001069,recto,1891,1349,1057,0.4410,9,ja,12,24/24,ja
273102_001070,verso,1836,1197,1052,0.4270,20,ja,11,24/24,ja
273103_001436,verso,1515,1334,1136,0.2502,61,ja,7,24/24,ja
273103_001437,recto,1790,1356,1179,0.3413,48,ja,91,24/24,ja
273103_001438,verso,1515,1329,1117,0.2627,11,ja,18,24/24,ja
273103_001439,recto,1795,1340,1133,0.3688,12,ja,28,24/24,ja
273103_001440,verso,1515,1342,1117,0.2627,31,ja,7,24/24,ja
273103_001441,recto,1791,1333,1155,0.3551,24,ja,63,24/24,ja
273103_001442,verso,1513,1353,1118,0.2611,39,ja,12,24/24,ja
273103_001460,verso,1481,1284,1195,0.1931,52,ja,31,24/24,ja
273103_001461,recto,1721,1304,1205,0.2998,32,ja,57,24/24,ja
273103_001462,verso,1474,1232,1123,0.2381,47,ja,15,24/24,ja
273103_001463,recto,1710,1331,1163,0.3199,41,ja,86,24/24,ja
273103_001464,verso,1471,1285,1173,0.2026,53,ja,16,24/24,ja
273103_001465,recto,1731,1297,1207,0.3027,36,ja,74,24/24,ja
273103_001466,verso,1468,1238,1101,0.2500,45,ja,17,24/24,ja
273103_001467,recto,1727,1351,1139,0.3405,41,ja,87,18/24,ja
273103_001468,verso,1467,1279,1148,0.2175,40,ja,13,24/24,ja
273103_001469,recto,1738,1293,1190,0.3153,25,ja,62,22/24,ja
273103_001470,verso,1587,1309,1237,0.2205,35,ja,28,20/24,ja
273103_001471,recto,1703,1373,1243,0.2701,31,ja,58,22/24,ja
273104_001633,verso,1617,1440,1220,0.2455,32,ja,26,24/24,ja
273104_001634,recto,1802,1348,1240,0.3119,11,ja,67,24/24,ja
273104_001635,verso,1617,1416,1170,0.2764,15,ja,30,24/24,ja
273105_001552,verso,1703,1403,1167,0.3147,26,ja,17,24/24,ja
273105_001553,recto,1737,1414,1219,0.2982,49,ja,56,24/24,ja
273105_001554,verso,1702,1411,1158,0.3196,35,ja,19,24/24,ja
273105_001568,verso,1703,1429,1160,0.3188,30,ja,7,24/24,ja
273105_001569,recto,1741,1401,1177,0.3240,29,ja,65,24/24,ja
273105_001570,verso,1701,1406,1140,0.3298,10,ja,20,24/24,ja
273105_001571,recto,1744,1404,1143,0.3446,16,ja,24,24/24,ja
273105_001572,verso,1699,1421,1158,0.3184,34,ja,5,24/24,ja
273105_001573,recto,1744,1408,1169,0.3297,28,ja,56,24/24,ja
273105_001574,verso,1686,1431,1163,0.3102,37,ja,10,24/24,ja
273105_001644,verso,1706,1451,1152,0.3247,10,ja,6,24/24,ja
273105_001645,recto,1741,1345,1175,0.3251,28,ja,33,24/24,ja
273105_001646,verso,1711,1486,1198,0.2998,54,ja,26,24/24,ja
273105_001707,verso,1614,1446,1178,0.2701,27,ja,21,24/24,ja
273105_001708,recto,1817,1348,1244,0.3154,28,ja,57,24/24,ja
273105_001709,verso,1604,1451,1179,0.2650,25,ja,8,24/24,ja
273105_001710,recto,1808,1336,1224,0.3230,42,ja,61,24/24,ja
273105_001711,verso,1598,1466,1202,0.2478,32,ja,26,19/24,ja
273105_001712,recto,1809,1312,1228,0.3212,18,ja,66,24/24,ja
273105_001713,verso,1597,1403,1133,0.2905,23,ja,14,24/24,ja
273105_001714,recto,1796,1356,1143,0.3636,21,ja,25,24/24,ja
273105_001715,verso,1594,1456,1201,0.2465,53,ja,19,24/24,ja
273105_001716,recto,1802,1329,1249,0.3069,48,ja,87,24/24,ja
273105_001717,verso,1745,1428,1174,0.3272,28,ja,9,24/24,ja
273106_001693,verso,1756,1319,1184,0.3257,15,ja,20,23/24,ja
273106_001694,recto,1978,1285,1203,0.3918,18,ja,30,24/24,ja
273106_001695,verso,1756,1301,1138,0.3519,22,ja,14,24/24,ja
273107_001863,verso,1542,1326,1126,0.2698,12,ja,4,24/24,ja
273107_001864,recto,1983,1296,1142,0.4241,19,ja,31,24/24,ja
273107_001865,verso,1538,1342,1133,0.2633,25,ja,19,24/24,ja
273107_001866,recto,1986,1288,1127,0.4325,10,ja,23,24/24,ja
273107_001867,verso,1531,1333,1125,0.2652,17,ja,13,24/24,ja
273107_001868,recto,1990,1286,1124,0.4352,10,ja,9,24/24,ja
273107_001869,verso,1529,1351,1129,0.2616,32,ja,32,24/24,ja
273108_001537,verso,1724,1334,1181,0.3150,7,ja,7,24/24,ja
273108_001538,recto,1836,1316,1178,0.3584,5,ja,12,24/24,ja
273108_001539,verso,1721,1315,1152,0.3306,5,ja,12,24/24,ja
273108_001553,verso,1709,1356,1202,0.2967,15,ja,27,24/24,ja
273108_001554,recto,1843,1300,1181,0.3592,12,ja,10,24/24,ja
273108_001555,verso,1708,1396,1154,0.3244,17,ja,17,12/24,ja
273108_001556,recto,1843,1269,1146,0.3782,13,ja,18,24/24,ja
273108_001557,verso,1705,1368,1181,0.3073,25,ja,19,24/24,ja
273108_001558,recto,1844,1290,1169,0.3661,20,ja,15,24/24,ja
273108_001559,verso,1707,1381,1156,0.3228,16,ja,8,24/24,ja
273109_000081,verso,1806,1452,1277,0.2929,48,ja,87,18/24,ja
273109_000082,recto,1741,1203,1134,0.3487,24,ja,9,24/24,ja
273109_000083,verso,1806,1413,1226,0.3212,44,ja,20,24/24,ja
273110_001525,verso,1647,1365,1188,0.2787,9,ja,45,24/24,ja
273110_001526,recto,1889,1259,1193,0.3684,7,ja,49,24/24,ja
273110_001527,verso,1649,1379,1180,0.2844,30,ja,71,24/24,ja
273110_001528,recto,1878,1267,1136,0.3951,22,ja,13,24/24,ja
273110_001529,verso,1646,1369,1171,0.2886,8,ja,36,24/24,ja
273110_001530,recto,1891,1259,1185,0.3733,15,ja,57,24/24,ja
273110_001531,verso,1647,1380,1175,0.2866,24,ja,13,24/24,ja
273110_001532,recto,1905,1273,1210,0.3648,37,ja,68,24/24,ja
273110_001533,verso,1519,1292,1226,0.1929,22,ja,26,24/24,ja
273110_001534,recto,2012,1361,1240,0.3837,37,ja,48,24/24,ja
273111_001370,verso,1626,1409,1173,0.2786,14,ja,8,24/24,ja
273111_001371,recto,1953,1259,1188,0.3917,12,ja,32,24/24,ja
273111_001372,verso,1626,1380,1136,0.3014,21,ja,13,24/24,ja
273111_001374,verso,1624,1411,1185,0.2703,11,ja,18,24/24,ja
273111_001375,recto,1953,1260,1185,0.3932,17,ja,6,24/24,ja
273111_001376,verso,1626,1446,1127,0.3069,12,ja,9,21/24,ja
273111_001377,recto,1961,1247,1112,0.4329,9,ja,5,22/24,ja
273111_001378,verso,1623,1417,1197,0.2625,9,ja,26,24/24,ja
273111_001379,recto,1963,1267,1205,0.3861,16,ja,17,24/24,ja
273111_001380,verso,1869,1550,1247,0.3328,23,nej,13,24/24,ja
273111_001381,recto,1856,1293,1225,0.3400,24,nej,12,24/24,ja
37554_001413,verso,1857,1344,1193,0.3576,40,ja,62,24/24,ja
37554_001414,recto,1902,1288,1146,0.3975,15,ja,11,24/24,ja
37554_001415,verso,1858,1339,1168,0.3714,28,ja,54,24/24,ja
37554_001491,verso,1807,1265,1141,0.3686,11,ja,27,24/24,ja
37554_001492,recto,1912,1307,1145,0.4012,12,ja,37,24/24,ja
37554_001493,verso,1803,1264,1127,0.3749,6,ja,14,24/24,ja
37554_001494,recto,1914,1317,1120,0.4148,6,ja,8,21/24,ja
37554_001495,verso,1800,1256,1128,0.3733,7,ja,11,24/24,ja
37554_001496,recto,1913,1310,1134,0.4072,15,ja,18,7/24,nej
37554_001497,verso,1803,1297,1183,0.3439,12,ja,11,24/24,ja
37554_001498,recto,1896,1268,1183,0.3761,11,ja,5,24/24,ja
37554_001499,verso,1793,1292,1167,0.3491,27,ja,45,24/24,ja
